    n;             min;             max;             avg;             mea;             bpc;             dev;
  258;      636168.000;      650504.000;      643336.000;      640090.900;           0.000;           0.530;
  259;      634228.000;      684704.000;      659466.000;      638308.300;           0.000;           1.768;
  260;      718294.000;      726616.000;      722455.000;      720068.900;           0.000;           0.307;
  261;      644100.000;      651862.000;      647981.000;      645255.100;           0.000;           0.342;
  262;      654670.000;      699074.000;      676872.000;      657912.200;           0.000;           1.503;
  263;      653526.000;      707152.000;      680339.000;      657260.300;           0.000;           1.807;
  264;      801986.000;      823630.000;      812808.000;      804405.300;           0.000;           0.623;
  265;      663738.000;      673956.000;      668847.000;      665296.500;           0.000;           0.401;
  266;      670664.000;      679164.000;      674914.000;      671770.400;           0.000;           0.268;
  267;      674408.000;      690292.000;      682350.000;      676216.100;           0.000;           0.564;
  268;      764588.000;     1182338.000;      973463.000;      799107.900;           0.000;          12.388;
  269;      683726.000;      693670.000;      688698.000;      685476.300;           0.000;           0.359;
  270;      693404.000;     1169152.000;      931278.000;      726063.800;           0.000;          14.962;
  271;      695958.000;      733850.000;      714904.000;      699170.300;           0.000;           1.218;
  272;     1211902.000;     1224376.000;     1218139.000;     1217003.500;           0.000;           0.248;
  273;      707632.000;      709168.000;      708400.000;      708161.400;           0.000;           0.057;
  274;      712942.000;      721140.000;      717041.000;      713778.000;           0.000;           0.248;
  275;      715318.000;      732394.000;      723856.000;      717969.300;           0.000;           0.574;
  276;      833000.000;      900780.000;      866890.000;      838475.100;           0.000;           1.790;
  277;      725588.000;      727376.000;      726482.000;      726487.800;           0.000;           0.071;
  278;      738380.000;      748202.000;      743291.000;      739974.500;           0.000;           0.335;
  279;      736794.000;      747606.000;      742200.000;      737881.000;           0.000;           0.316;
  280;      909186.000;      921012.000;      915099.000;      911576.300;           0.000;           0.334;
  281;      746864.000;      754110.000;      750487.000;      748021.600;           0.000;           0.201;
  282;      755012.000;      762858.000;      758935.000;      756467.800;           0.000;           0.209;
  283;      757758.000;     1200652.000;      979205.000;      806824.800;           0.000;          16.013;
  284;      859380.000;      867166.000;      863273.000;      860857.200;           0.000;           0.217;
  285;      767708.000;      776860.000;      772284.000;      768949.900;           0.000;           0.249;
  286;      778614.000;      788738.000;      783676.000;      779588.700;           0.000;           0.280;
  287;      779856.000;      867550.000;      823703.000;      788391.400;           0.000;           2.624;
  288;     1721746.000;     1739718.000;     1730732.000;     1725664.700;           0.000;           0.319;
  289;      790692.000;      886214.000;      838453.000;      797041.300;           0.000;           2.670;
  290;      799420.000;      838172.000;      818796.000;      804887.700;           0.000;           1.112;
  291;      801902.000;      847290.000;      824596.000;      805068.100;           0.000;           1.236;
  292;      909356.000;     1373828.000;     1141592.000;      954615.500;           0.000;          11.108;
  293;      813224.000;     1066108.000;      939666.000;      831734.800;           0.000;           6.991;
  294;      820630.000;      836540.000;      828585.000;      823357.900;           0.000;           0.498;
  295;      823600.000;      900378.000;      861989.000;      832202.200;           0.000;           2.319;
  296;     1018852.000;     1052260.000;     1035556.000;     1022128.700;           0.000;           0.741;
  297;      833874.000;      849048.000;      841461.000;      836740.700;           0.000;           0.495;
  298;      844660.000;      901664.000;      873162.000;      848561.900;           0.000;           1.483;
  299;      845558.000;      934090.000;      889824.000;      851786.500;           0.000;           2.301;
  300;      969994.000;      986048.000;      978021.000;      972790.700;           0.000;           0.397;
  301;      857190.000;      866640.000;      861915.000;      858898.700;           0.000;           0.313;
  302;      873572.000;      884788.000;      879180.000;      876366.500;           0.000;           0.322;
  303;      868810.000;      878730.000;      873770.000;      870262.900;           0.000;           0.303;
  304;     1880202.000;     1889950.000;     1885076.000;     1882897.100;           0.000;           0.177;
  305;      879146.000;      962760.000;      920953.000;      885438.700;           0.000;           2.089;
  306;      891382.000;      912924.000;      902153.000;      895023.200;           0.000;           0.711;
  307;      894660.000;      910890.000;      902775.000;      896177.200;           0.000;           0.391;
  308;     1058136.000;     1092032.000;     1075084.000;     1061630.800;           0.000;           0.710;
  309;      902058.000;      922636.000;      912347.000;      904682.400;           0.000;           0.600;
  310;      914686.000;     1010842.000;      962764.000;      921831.000;           0.000;           2.295;
  311;      914430.000;      924596.000;      919513.000;      916459.300;           0.000;           0.285;
  312;     1132742.000;     1774634.000;     1453688.000;     1171464.600;           0.000;          12.258;
  313;      928966.000;      949912.000;      939439.000;      931471.200;           0.000;           0.522;
  314;      937856.000;      996784.000;      967320.000;      942529.200;           0.000;           1.385;
  315;      940840.000;      949994.000;      945417.000;      942211.900;           0.000;           0.199;
  316;     1093262.000;     1105372.000;     1099317.000;     1095905.400;           0.000;           0.289;
  317;     1469392.000;     1561568.000;     1515480.000;     1477839.200;           0.000;           1.397;
  318;      964834.000;     1609630.000;     1287232.000;     1017048.000;           0.000;          14.141;
  319;      962022.000;     1620464.000;     1291243.000;     1016869.100;           0.000;          14.980;
  320;     2415310.000;     2646798.000;     2531054.000;     2432513.000;           0.000;           2.096;
  321;      975254.000;      984040.000;      979647.000;      976219.300;           0.000;           0.195;
  322;      988606.000;     1575896.000;     1282251.000;     1026014.500;           0.000;          12.699;
  323;      986090.000;      996678.000;      991384.000;      988077.800;           0.000;           0.284;
  324;     1149578.000;     1175464.000;     1162521.000;     1152605.300;           0.000;           0.517;
  325;      997350.000;     1071498.000;     1034424.000;     1003250.600;           0.000;           1.626;
  326;     1174864.000;     1186406.000;     1180635.000;     1177570.200;           0.000;           0.288;
  327;     1010184.000;     1023690.000;     1016937.000;     1013502.300;           0.000;           0.397;
  328;     1254502.000;     1348666.000;     1301584.000;     1266632.500;           0.000;           2.137;
  329;     1026846.000;     1073170.000;     1050008.000;     1031358.200;           0.000;           0.981;
  330;     1046906.000;     1172622.000;     1109764.000;     1065462.700;           0.000;           3.468;
  331;     1037414.000;     1131240.000;     1084327.000;     1044673.000;           0.000;           1.966;
  332;     1204284.000;     1208294.000;     1206289.000;     1206424.000;           0.000;           0.085;
  333;     1048858.000;     1105182.000;     1077020.000;     1053472.000;           0.000;           1.180;
  334;     1139410.000;     1232528.000;     1185969.000;     1149112.300;           0.000;           1.748;
  335;     1061668.000;     1684134.000;     1372901.000;     1111504.100;           0.000;          13.132;
  336;     2311184.000;     2392646.000;     2351915.000;     2321308.300;           0.000;           0.858;
  337;     1074736.000;     1086040.000;     1080388.000;     1078002.500;           0.000;           0.312;
  338;     1087580.000;     1190000.000;     1138790.000;     1095963.700;           0.000;           2.045;
  339;     1088606.000;     1101616.000;     1095111.000;     1091472.900;           0.000;           0.299;
  340;     1248110.000;     1355274.000;     1301692.000;     1256860.900;           0.000;           1.879;
  341;     1104796.000;     1255874.000;     1180335.000;     1118071.700;           0.000;           3.142;
  342;     1589780.000;     1605750.000;     1597765.000;     1594994.400;           0.000;           0.306;
  343;     1114888.000;     1125974.000;     1120431.000;     1117523.900;           0.000;           0.222;
  344;     1377406.000;     1390416.000;     1383911.000;     1381116.900;           0.000;           0.313;
  345;     1124626.000;     1169670.000;     1147148.000;     1131576.200;           0.000;           1.089;
  346;     1171560.000;     1190934.000;     1181247.000;     1176752.300;           0.000;           0.415;
  347;     1140682.000;     1231742.000;     1186212.000;     1149065.200;           0.000;           1.729;
  348;     1312840.000;     1331192.000;     1322016.000;     1316521.900;           0.000;           0.354;
  349;     1154346.000;     1159452.000;     1156899.000;     1156705.200;           0.000;           0.108;
  350;     1170604.000;     1179836.000;     1175220.000;     1174294.400;           0.000;           0.220;
  351;     1164854.000;     1175734.000;     1170294.000;     1168359.100;           0.000;           0.309;
  352;     2568914.000;     2614942.000;     2591928.000;     2575030.800;           0.000;           0.402;
  353;     1179282.000;     1191376.000;     1185329.000;     1182077.200;           0.000;           0.300;
  354;     1194778.000;     1287422.000;     1241100.000;     1202839.500;           0.000;           1.696;
  355;     1193394.000;     1232948.000;     1213171.000;     1199795.300;           0.000;           0.826;
